2.77,3.02,3.32,9931.413,9851.647,.,0.6906027,0.25,..1,..2,..3,..4,..5,..6,..7,..8,..9,..10,..11,..12,..13,..14,..15
2.97,3.43,3.67,9926.498,9831.846,0.7597774,0.7404658,0.46,0.6906027,.,0.25,0.0691746,0.2,2.77,.,0.049863,.,.,0.4100001,.,.,3.02,0.21
4.0,4.32,4.41,9901.259,9789.134,0.7060026,0.9972603,0.3200002,0.7404658,0.7597774,0.46,-0.0344632,1.03,2.97,-0.0537748,0.2567945,.,0.049863,0.8900001,0.4100001,0.2,3.43,-0.1399999
4.6,4.68,4.75,9886.615,9771.963,0.9958128,1.146849,0.0799999,0.9972603,0.7060026,0.3200002,-0.0014475,0.5999999,4.0,0.2898102,0.149589,-0.0537748,0.2567945,0.3599997,0.8900001,1.03,4.32,-0.2400002
4.16,4.33,4.38,9897.35,9788.656,1.283127,1.037151,0.1700001,1.146849,0.9958128,0.0799999,0.136278,-0.4400001,4.6,0.2873145,-0.1096987,0.2898102,0.149589,-0.3499999,0.3599997,0.5999999,4.68,0.0900002
3.07,3.5,3.82,9924.042,9828.473,1.383088,0.7653973,0.4300001,1.037151,1.283127,0.1700001,0.3459375,-1.09,4.16,0.0999608,-0.2717534,0.2873145,-0.1096987,-0.8299999,-0.3499999,-0.4400001,4.33,0.26
2.6,2.84,2.95,9935.596,9860.366,1.089926,0.6482192,0.24,0.7653973,1.383088,0.4300001,0.3245284,-0.47,3.07,-0.2931625,-0.1171781,0.0999608,-0.2717534,-0.6600001,-0.8299999,-1.09,3.5,-0.1900001
2.34,2.67,2.99,9941.999,9868.615,0.8278883,0.5833972,0.3300002,0.6482192,1.089926,0.24,0.1796691,-0.26,2.6,-0.2620374,-0.064822,-0.2931625,-0.1171781,-0.1699998,-0.6600001,-0.47,2.84,0.0900002
2.61,2.77,2.93,9935.35,9863.761,0.6762283,0.6507123,0.1600001,0.5833972,0.8278883,0.3300002,0.0928311,0.27,2.34,-0.1516599,0.0673151,-0.2620374,-0.064822,0.0999999,-0.1699998,-0.26,2.67,-0.1700001
2.37,2.56,2.94,9941.26,9873.96,0.7856945,0.5908767,0.1900001,0.6507123,0.6762283,0.1600001,0.1349822,-0.24,2.61,0.1094661,-0.0598356,-0.1516599,0.0673151,-0.21,0.0999999,0.27,2.77,0.03
2.19,2.63,3.0,9945.696,9870.558,0.7265204,0.546,0.4400001,0.5908767,0.7856945,0.1900001,0.1356437,-0.1799998,2.37,-0.0591741,-0.0448767,0.1094661,-0.0598356,0.0700002,-0.21,-0.24,2.56,0.25
2.49,2.76,3.0,9938.304,9864.246,0.6863452,0.6207945,0.27,0.546,0.7265204,0.4400001,0.1403452,0.3,2.19,-0.0401752,0.0747945,-0.0591741,-0.0448767,0.1299999,0.0700002,-0.1799998,2.63,-0.1700001
2.71,2.89,3.08,9932.889,9857.943,0.6958725,0.6756439,0.1800001,0.6207945,0.6863452,0.27,0.075078,0.22,2.49,0.0095274,0.0548493,-0.0401752,0.0747945,0.1300001,0.1299999,0.3,2.76,-0.0899999
2.72,2.78,2.93,9932.644,9863.276,0.7577665,0.678137,0.0599999,0.6756439,0.6958725,0.1800001,0.0821227,0.01,2.71,0.061894,0.0024931,0.0095274,0.0548493,-0.1100001,0.1300001,0.22,2.89,-0.1200001
2.87,2.96,3.05,9928.955,9854.552,0.6658914,0.7155342,0.0900002,0.678137,0.7577665,0.0599999,-0.0122456,0.1499999,2.72,-0.0918751,0.0373972,0.061894,0.0024931,0.1800001,-0.1100001,0.01,2.78,0.0300002
2.87,2.92,3.0,9928.955,9856.489,0.7550148,0.7155342,0.0500002,0.7155342,0.6658914,0.0900002,0.0394806,0.0,2.87,0.0891234,0.0,-0.0918751,0.0373972,-0.04,0.1800001,0.1499999,2.96,-0.04
2.91,2.95,2.99,9927.972,9855.036,0.7252321,0.7255068,0.04,0.7155342,0.7550148,0.0500002,0.0096979,0.0400002,2.87,-0.0297827,0.0099726,0.0891234,0,0.03,-0.04,0,2.92,-0.0100002
3.06,3.1,3.15,9924.287,9847.777,0.7026963,0.7629041,0.04,0.7255068,0.7252321,0.04,-0.0228105,0.1499999,2.91,-0.0225357,0.0373973,-0.0297827,0.0099726,0.1499999,0.03,0.0400002,2.95,0.0
3.34,3.46,3.57,9917.416,9830.4,0.7071512,0.8327123,0.1200001,0.7629041,0.7026963,0.04,-0.0557529,0.28,3.06,0.0044549,0.0698082,-0.0225357,0.0373973,0.3600001,0.1499999,0.1499999,3.1,0.0800002
3.58,3.62,3.68,9911.535,9822.696,0.8253455,0.8925479,0.04,0.8327123,0.7071512,0.1200001,-0.0073668,0.24,3.34,0.1181943,0.0598356,0.0044549,0.0698082,0.1599998,0.3600001,0.28,3.46,-0.0800002
3.64,3.75,3.82,9910.065,9816.446,0.8894619,0.9075069,0.1099999,0.8925479,0.8253455,0.04,-0.003086,0.0600002,3.58,0.0641164,0.014959,0.1181943,0.0598356,0.1300001,0.1599998,0.24,3.62,0.0699999
3.51,3.65,3.77,9913.25,9821.253,0.986138,0.8750959,0.1400001,0.9075069,0.8894619,0.1099999,0.0786312,-0.1300001,3.64,0.0966762,-0.032411,0.0641164,0.014959,-0.0999999,0.1300001,0.0600002,3.75,0.0300002
3.54,3.62,3.72,9912.515,9822.696,0.9292268,0.8825753,0.0799999,0.8750959,0.986138,0.1400001,0.0541309,0.03,3.51,-0.0569112,0.0074794,0.0966762,-0.032411,-0.0300002,-0.0999999,-0.1300001,3.65,-0.0600002
3.88,3.98,4.03,9904.192,9805.407,0.8296713,0.9673425,0.0999999,0.8825753,0.9292268,0.0799999,-0.052904,0.3400002,3.54,-0.0995555,0.0847672,-0.0569112,0.0074794,0.3600001,-0.0300002,0.03,3.62,0.02
4.02,4.03,4.04,9900.77,9803.011,0.9725481,1.002247,0.0100002,0.9673425,0.8296713,0.0999999,0.0052056,0.1399999,3.88,0.1428768,0.0349041,-0.0995555,0.0847672,0.0500002,0.3600001,0.3400002,3.98,-0.0899997
3.9,3.96,4.0,9903.703,9806.366,1.027158,0.9723288,0.0599999,1.002247,0.9725481,0.0100002,0.0249112,-0.1199999,4.02,0.0546097,-0.0299178,0.1428768,0.0349041,-0.0700002,0.0500002,0.1399999,4.03,0.0499997
