1987,8,12.2,132,4084,12039,151,3.232125,0,9.395906,.,..1,5.01728,..2,..3,..4,114,0.9469225,4.736198,..5,..6,"""AL""","""alabama""",24.2,0.0059256,-5.128479,..7,21.3,..8,10.44663,..9,0.0369736,-3.297552,..10,8.314832,..11
1990,8.4,10.8,132,4041,14899,158,3.266518,1,9.60905,0.0343928,0.2131433,5.062595,0.0453153,0.3999996,-1.4,115,0.7718639,4.744932,0.0087337,-0.1750586,"""AL""","""alabama""",23.5,0.0058154,-5.147247,-0.0187674,19.2,-2.099998,10.67014,0.223506,0.0390992,-3.241652,0.0558999,8.304248,-0.0105839
1987,4.8,10.4,19,524,18461,138,3.625954,0,9.823416,.,.,4.927254,.,.,.,567,3.07134,6.340359,.,.,"""AK""","""alaska""",2.0,0.0038168,-5.568345,.,12.0,.,13.14754,.,0.2633588,-1.334238,.,6.261492,.
1990,4.8,10.5,24,550,20867,146,4.363636,1,9.945924,0.7376823,0.122508,4.983607,0.0563531,0,0.1000004,651,3.119758,6.478509,0.1381502,0.0484188,"""AK""","""alaska""",2.0,0.0036364,-5.616771,-0.0484266,11.4,-0.6000004,19.04132,5.893779,0.2654545,-1.326312,0.0079263,6.309918,0.0484266
1987,6.4,9.5,91,3400,14322,191,2.676471,0,9.569552,.,.,5.252274,.,.,.,268,1.871247,5.590987,.,.,"""AZ""","""arizona""",13.4,0.0039412,-5.536276,.,12.8,.,7.163495,.,0.0561765,-2.879257,.,8.131531,.
1990,6.4,8.8,144,3665,16169,197,3.929059,1,9.690851,1.252588,0.1212988,5.283204,0.03093,0,-0.6999998,268,1.657493,5.590987,0,-0.2137543,"""AZ""","""arizona""",13.3,0.0036289,-5.61882,-0.0825438,13.7,0.8999996,15.4375,8.274006,0.0537517,-2.92338,-0.0441227,8.206584,0.0750532
1987,7.7,10.3,67,2388,11421,144,2.805695,0,9.343209,.,.,4.969813,.,.,.,185,1.619823,5.220356,.,.,"""AR""","""arkansas""",13.0,0.0054439,-5.213262,.,21.8,.,7.871925,.,0.0603015,-2.808398,.,7.778212,.
1990,8.2,9.2,73,2351,14037,150,3.105062,1,9.549452,0.2993667,0.2062426,5.010635,0.040822,0.5,-1.1,190,1.353566,5.247024,0.0266681,-0.2662575,"""AR""","""arkansas""",12.9,0.005487,-5.205369,0.0078931,19.6,-2.199999,9.641409,1.769484,0.0638026,-2.751961,0.0564375,7.762596,-0.0156155
1987,6.0,9.0,1708,27653,17770,242,6.176545,0,9.785267,.,.,5.488938,.,.,.,557,3.134496,6.322565,.,.,"""CA""","""california""",107.6,0.0038911,-5.549069,.,12.3,.,38.14971,.,0.0087513,-4.738552,.,10.22749,.
1990,5.8,7.9,2023,29760,20547,244,6.797715,1,9.93047,0.62117,0.1452036,5.497168,0.0082302,-0.1999998,-1.1,637,3.100209,6.456769,0.1342044,-0.0342872,"""CA""","""california""",105.7,0.0035517,-5.640316,-0.0912466,13.9,1.599999,46.20893,8.059219,0.0081989,-4.803752,-0.0652008,10.30092,0.073431
1987,7.9,9.8,94,3293,15680,202,2.85454,0,9.660141,.,.,5.308268,.,.,.,312,1.989796,5.743003,.,.,"""CO""","""colorado""",14.1,0.0042818,-5.45338,.,12.5,.,8.148397,.,0.0613422,-2.791287,.,8.099554,.
1990,8.0,8.8,109,3294,18795,211,3.309047,1,9.841346,0.4545069,0.1812048,5.351858,0.0435905,0.0999999,-1,320,1.70258,5.768321,0.0253177,-0.2872155,"""CO""","""colorado""",13.7,0.0041591,-5.482462,-0.0290823,13.7,1.2,10.94979,2.801393,0.0640559,-2.748,0.043287,8.099858,0.0003042
1987,6.7,8.8,107,3212,21258,293,3.331258,0,9.964489,.,.,5.680172,.,.,.,478,2.248565,6.169611,.,.,"""CT""","""connect""",15.3,0.0047634,-5.346797,.,6.6,.,11.09728,.,0.0912204,-2.394476,.,8.074649,.
1990,6.6,7.9,135,3287,25528,305,4.107089,1,10.14753,0.7758307,0.1830425,5.720312,0.0401392,-0.0999999,-0.9000001,571,2.23676,6.347389,0.1777787,-0.0118055,"""CT""","""connect""",14.3,0.0043505,-5.437471,-0.0906744,6.0,-0.5999999,16.86818,5.770899,0.0927898,-2.377419,0.0170577,8.097731,0.0230818
1987,6.7,11.7,20,648,16305,191,3.08642,0,9.699227,.,.,5.252274,.,.,.,261,1.600736,5.56452,.,.,"""DE""","""delaware""",3.4,0.0052469,-5.250115,.,6.6,.,9.525988,.,0.2947531,-1.221617,.,6.473891,.
1990,7.6,10.1,22,666,20709,199,3.303303,1,9.938324,0.2168834,0.2390966,5.293305,0.0410314,0.9000001,-1.599999,292,1.410015,5.676754,0.1122336,-0.190721,"""DE""","""delaware""",2.8,0.0042042,-5.47167,-0.2215548,6.9,0.3000002,10.91181,1.385825,0.2987988,-1.207985,0.0136325,6.50129,0.0273991
1987,7.7,10.6,307,12022,15594,203,2.553652,0,9.654641,.,.,5.313206,.,.,.,236,1.513403,5.463832,.,.,"""FL""","""florida""",60.9,0.0050657,-5.28526,.,12.4,.,6.521136,.,0.0168857,-4.081288,.,9.394494,.
1990,7.4,9.6,420,12938,18606,208,3.246251,1,9.83124,0.6925998,0.1765985,5.337538,0.024332,-0.2999997,-1,263,1.413522,5.572154,0.1083221,-0.0998801,"""FL""","""florida""",62.8,0.0048539,-5.327969,-0.0427089,14.4,2,10.53815,4.017012,0.0160767,-4.130386,-0.049098,9.467924,0.0734301
1987,8.2,12.7,244,6227,14387,167,3.91842,0,9.57408,.,.,5.117994,.,.,.,237,1.647321,5.46806,.,.,"""GA""","""georgia""",35.1,0.0056367,-5.178449,.,14.6,.,15.35401,.,0.0268187,-3.618656,.,8.73665,.
1990,8.7,12.4,320,6478,17041,175,4.939796,1,9.743378,1.021377,0.1692972,5.164786,0.046792,0.5,-0.3000002,265,1.555073,5.57973,0.11167,-0.0922475,"""GA""","""georgia""",34.9,0.0053875,-5.22368,-0.0452313,15.8,1.2,24.40159,9.047574,0.0270145,-3.611381,0.0072751,8.776167,0.0395174
1987,7.0,8.9,41,1082,15569,225,3.789279,0,9.653037,.,.,5.416101,.,.,.,410,2.633438,6.016157,.,.,"""HI""","""hawaii""",3.8,0.003512,-5.651566,.,8.8,.,14.35864,.,0.2079482,-1.570466,.,6.986567,.
1990,7.1,6.7,44,1108,20461,236,3.971119,1,9.926276,0.1818399,0.2732391,5.463832,0.0477314,0.0999999,-2.2,581,2.839548,6.364751,0.3485937,0.20611,"""HI""","""hawaii""",4.1,0.0037004,-5.599325,0.0522408,11.0,2.2,15.76979,1.411151,0.2129964,-1.54648,0.023986,7.010312,0.0237455
1987,5.6,10.4,18,1000,11797,120,1.8,0,9.375601,.,.,4.787492,.,.,.,259,2.195473,5.556828,.,.,"""ID""","""idaho""",4.0,0.004,-5.521461,.,15.1,.,3.24,.,0.12,-2.120264,.,6.907755,.
1990,5.7,8.7,17,1007,15137,125,1.688183,1,9.624897,-0.1118172,0.2492962,4.828314,0.040822,0.0999999,-1.7,266,1.757283,5.583496,0.0266681,-0.43819,"""ID""","""idaho""",3.9,0.0038729,-5.553754,-0.0322933,14.9,-0.2000008,2.849961,-0.390039,0.1241311,-2.086417,0.0338464,6.914731,0.0069757
1987,7.4,11.6,681,11584,16394,210,5.878798,0,9.704671,.,.,5.347107,.,.,.,308,1.878736,5.7301,.,.,"""IL""","""illinois""",62.3,0.0053781,-5.225419,.,14.4,.,34.56027,.,0.0181285,-4.010273,.,9.35738,.
1990,7.6,10.7,656,11431,20327,212,5.73878,1,9.919705,-0.140018,0.2150345,5.356586,0.009479,0.1999998,-0.9000006,342,1.682491,5.834811,0.1047111,-0.1962448,"""IL""","""illinois""",57.7,0.0050477,-5.288827,-0.0634084,13.7,-0.6999998,32.9336,-1.626671,0.0185461,-3.987498,0.0227745,9.344084,-0.0132961
