92.6,2.32,1,4.528289,0.8415672,.,..1,..2,..3,..4,..5,..6,..7,..8,..9,..10,..11,..12,..13,..14
92.5,2.32,2,4.527209,0.8415672,-0.0010805,0.0,.,.,.,.,.,.,.,.,.,.,.,.,.
92.6,2.32,3,4.528289,0.8415672,0.0010805,0.0,0,.,.,.,.,.,.,.,.,.,.,.,-0.0010805
92.7,2.34,4,4.529368,0.8501509,0.0010791,0.0085837,0,0,.,.,.,.,.,.,.,.,.,.,0.0010805
92.7,2.35,5,4.529368,0.8544153,0.0,0.0042644,0.0085837,0,0,.,.,.,.,.,.,.,.,.,0.0010791
92.9,2.36,6,4.531524,0.8586616,0.0021553,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,.,.,.,0
93.1,2.36,7,4.533674,0.8586616,0.0021505,0.0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,.,.,0.0021553
93.0,2.37,8,4.532599,0.8628899,-0.0010748,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,.,0.0021505
93.2,2.4,9,4.534748,0.8754688,0.0021482,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,-0.0010748
93.3,2.39,10,4.53582,0.8712934,0.0010724,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,0.0021482
93.5,2.4,11,4.537961,0.8754688,0.0021415,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,0.0010724
93.6,2.4,12,4.539031,0.8754688,0.0010691,0.0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,0.0021415
93.6,2.4,13,4.539031,0.8754688,0.0,0.0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,0.0010691
93.6,2.42,14,4.539031,0.8837675,0.0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,0
93.7,2.42,15,4.540098,0.8837675,0.0010676,0.0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0
94.0,2.42,16,4.543295,0.8837675,0.0031967,0.0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0.0010676
94.2,2.45,17,4.54542,0.8960881,0.0021253,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0031967
94.7,2.46,18,4.550714,0.9001614,0.0052938,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0021253
94.8,2.46,19,4.551769,0.9001614,0.0010552,0.0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0052938
94.6,2.46,20,4.549657,0.9001614,-0.0021119,0.0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0.0010552
94.8,2.49,21,4.551769,0.9122827,0.0021119,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,-0.0021119
94.9,2.5,22,4.552824,0.9162908,0.0010543,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,-0.0041754,0.0021119
95.1,2.5,23,4.554929,0.9162908,0.0021052,0.0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0041754,0.0010543
95.4,2.5,24,4.558079,0.9162908,0.00315,0.0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0,0.0021052
95.4,2.51,25,4.558079,0.9202827,0.0,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0,0.00315
96.0,2.52,26,4.564348,0.9242589,0.0062695,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0082988,0
96.3,2.52,27,4.567468,0.9242589,0.0031199,0.0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0,0.0062695
96.7,2.54,28,4.571613,0.9321641,0.0041451,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0,0.0031199
96.8,2.55,29,4.572647,0.9360933,0.0010338,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0123205,0.0041451
97.1,2.56,30,4.575741,0.9400072,0.0030942,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0040733,0.0010338
97.4,2.57,31,4.578826,0.9439059,0.0030851,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0,0.0030942
97.9,2.57,32,4.583947,0.9439059,0.0051203,0.0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0,0.0030851
98.1,2.61,33,4.585988,0.9593502,0.0020409,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0121213,0.0051203
98.5,2.61,34,4.590056,0.9593502,0.0040689,0.0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040081,0.0020409
98.5,2.61,35,4.590056,0.9593502,0.0,0.0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0,0.0040689
98.6,2.6,36,4.591071,0.9555114,0.0010147,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0,0
98.6,2.62,37,4.591071,0.9631743,0.0,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0.003992,0.0010147
98.7,2.63,38,4.592085,0.9669839,0.0010138,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0039762,0
98.9,2.63,39,4.594109,0.9669839,0.0020242,0.0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0,0.0010138
99.1,2.64,40,4.596129,0.9707789,0.0020204,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0079052,0.0020242
99.4,2.66,41,4.599152,0.9783261,0.0030227,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0039293,0.0020204
99.7,2.67,42,4.602166,0.9820785,0.0030136,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0039139,0.0030227
100.2,2.69,43,4.607168,0.9895412,0.0050025,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0038987,0.0030136
100.5,2.69,44,4.610157,0.9895412,0.0029893,0.0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0,0.0050025
100.7,2.72,45,4.612146,1.000632,0.0019884,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0154443,0.0029893
101.0,2.73,46,4.61512,1.004302,0.0029745,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0,0.0019884
101.3,2.74,47,4.618086,1.007958,0.0029659,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0,0.0029745
101.6,2.73,48,4.621044,1.004302,0.0029573,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,-0.0038388,0.0029659
102.0,2.76,49,4.624973,1.015231,0.0039291,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0076629,0.0029573
102.3,2.78,50,4.62791,1.022451,0.0029368,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0038096,0.0039291
102.8,2.79,51,4.632785,1.026042,0.0048757,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0,0.0029368
103.1,2.8,52,4.635699,1.029619,0.002914,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.003795,0.0048757
103.4,2.83,53,4.638605,1.040277,0.0029058,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0075472,0.002914
104.0,2.84,54,4.644391,1.043804,0.0057859,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0037524,0.0029058
104.5,2.85,55,4.649187,1.047319,0.004796,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.0074627,0.0057859
104.8,2.86,56,4.652054,1.050822,0.0028667,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0,0.004796
105.1,2.91,57,4.654912,1.068153,0.0028586,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0110907,0.0028667
105.7,2.92,58,4.660605,1.071584,0.0056925,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0036697,0.0028586
106.1,2.92,59,4.664382,1.071584,0.003777,0.0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.0036563,0.0056925
106.4,2.93,60,4.667206,1.075002,0.0028238,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,-0.0036563,0.003777
106.7,2.94,61,4.670021,1.07841,0.0028152,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.010929,0.0028238
